metric,synthesizer,Orig,PrivGen,metric_category
prdc.coverage,ctgan,0.3558,0.3918477753940864,stats
prdc.density,ctgan,0.31956,0.3954108758511333,stats
prdc.precision,ctgan,0.5976666666666667,0.6659826508721202,stats
prdc.recall,ctgan,0.9710666666666666,0.9291110903833598,stats
wasserstein_dist.joint,ctgan,0.0674894429240438,0.2974023313809633,stats
delta-presence.score,tvae,19.2777777670679,53.49999986625,privacy
distinct l-diversity.syn,tvae,137.00000001,85.00000001,privacy
k-anonymization.syn,tvae,137.00000001,85.00000001,privacy
k-map.score,tvae,18.0,4.0,privacy
close_values_probability.score,tvae,0.9969333333333332,0.9859154929577464,sanity
nearest_syn_neighbor_distance.mean,tvae,0.0048779893926901,0.0110120135873941,sanity
alpha_precision.authenticity_naive,tvae,0.8528666666666667,0.9972017535677642,stats
chi_squared_test.marginal,tvae,0.914137819713208,0.625992897617973,stats
inv_kl_divergence.marginal,tvae,0.9507775644330184,0.8030737469470252,stats
jensenshannon_dist.marginal,tvae,0.0083467305993255,0.0241497602455115,stats
ks_test.marginal,tvae,0.9405846153846154,0.8349249854706436,stats
max_mean_discrepancy.joint,tvae,0.0001498701100938,0.0002029393399796,stats
prdc.coverage,tvae,0.3134666666666666,0.3495942542673258,stats
prdc.density,tvae,0.3180533333333333,0.3836209308833131,stats
prdc.precision,tvae,0.5966666666666667,0.6470478500139912,stats
prdc.recall,tvae,0.9783333333333334,0.928271616453689,stats
wasserstein_dist.joint,tvae,0.0514742724985432,0.3226579459961851,stats
delta-presence.score,rtvae,1.627247956394402,783.9999921600001,privacy
distinct l-diversity.syn,rtvae,71.00000001,1.00000001,privacy
k-anonymization.syn,rtvae,71.00000001,1.00000001,privacy
k-map.score,rtvae,535.0,1.0,privacy
close_values_probability.score,rtvae,0.9388,0.933774834437086,sanity
nearest_syn_neighbor_distance.mean,rtvae,0.0616166201525488,0.0594648355127763,sanity
alpha_precision.authenticity_naive,rtvae,0.8869333333333334,0.998414327021733,stats
chi_squared_test.marginal,rtvae,0.4505980026126525,0.3249059165170428,stats
inv_kl_divergence.marginal,rtvae,0.6372842425095276,0.5306011776635559,stats
jensenshannon_dist.marginal,rtvae,0.0113764923821193,0.025996252683052,stats
ks_test.marginal,rtvae,0.9173846153846152,0.8126394638846836,stats
max_mean_discrepancy.joint,rtvae,0.0001513660779215,0.0002170548887989,stats
prdc.coverage,rtvae,0.0099333333333333,0.0119391847775394,stats
prdc.density,rtvae,0.3304133333333333,0.4835929484189908,stats
prdc.precision,rtvae,0.5657333333333333,0.7052513758044958,stats
prdc.recall,rtvae,0.006,0.0766719522432608,stats
wasserstein_dist.joint,rtvae,0.0537753679231949,0.3159568561652141,stats
delta-presence.score,ddpm,1.3838383837917898,4.529411764039793,privacy
distinct l-diversity.syn,ddpm,50.00000001,17.00000001,privacy
k-anonymization.syn,ddpm,50.00000001,17.00000001,privacy
k-map.score,ddpm,50.0,17.0,privacy
close_values_probability.score,ddpm,0.9978666666666668,0.996269004757019,sanity
nearest_syn_neighbor_distance.mean,ddpm,0.0212214371846868,0.0208975310593694,sanity
alpha_precision.authenticity_naive,ddpm,0.9068,0.9981345023785094,stats
chi_squared_test.marginal,ddpm,0.992270883383908,0.8852485397248804,stats
inv_kl_divergence.marginal,ddpm,0.9968792994422244,0.907878128670734,stats
jensenshannon_dist.marginal,ddpm,0.0025126435918844,0.0160657933669572,stats
ks_test.marginal,ddpm,0.9814564102564104,0.8807516520416436,stats
max_mean_discrepancy.joint,ddpm,0.0001499194077186,0.0002113847929229,stats
prdc.coverage,ddpm,0.4476666666666666,0.5232720828280943,stats
prdc.density,ddpm,0.3598666666666666,0.4436899542953083,stats
prdc.precision,ddpm,0.6215333333333334,0.700494356869695,stats
prdc.recall,ddpm,0.9748,0.9412368249230484,stats
wasserstein_dist.joint,ddpm,0.0389516116372146,0.3104604238486722,stats
delta-presence.score,arf,1.198240165625268,2.897435897287311,privacy
distinct l-diversity.syn,arf,60.00000001,15.00000001,privacy
k-anonymization.syn,arf,60.00000001,15.00000001,privacy
k-map.score,arf,59.0,15.0,privacy
close_values_probability.score,arf,0.9952,0.998414327021733,sanity
nearest_syn_neighbor_distance.mean,arf,0.0413743322898804,0.0138025615833129,sanity
alpha_precision.authenticity_naive,arf,0.6500666666666667,0.9981345023785094,stats
chi_squared_test.marginal,arf,0.997368775436477,0.885165906228437,stats
inv_kl_divergence.marginal,arf,0.9948286640594148,0.9079128699145012,stats
jensenshannon_dist.marginal,arf,0.0023708512613548,0.0160629999155242,stats
ks_test.marginal,arf,0.9781846153846152,0.8784269550056324,stats
max_mean_discrepancy.joint,arf,0.0001375620147713,0.0002108665593826,stats
prdc.coverage,arf,0.9011333333333332,0.7974069583061282,stats
prdc.density,arf,0.6651333333333334,0.7201753567764202,stats
prdc.precision,arf,0.7740666666666667,0.8436712993190933,stats
prdc.recall,arf,0.9912,0.9438485215931348,stats
wasserstein_dist.joint,arf,0.0271063941811032,0.2765215236409223,stats
