metric,synthesizer,Orig,PrivGen,metric_category
prdc.recall,ctgan,0.995,0.9449838187702264,stats
wasserstein_dist.joint,ctgan,0.4966708683754681,0.4701068947163527,stats
delta-presence.score,tvae,12.999999870000002,21.99999989,privacy
distinct l-diversity.syn,tvae,1.00000001,15.00000001,privacy
k-anonymization.syn,tvae,1.00000001,15.00000001,privacy
k-map.score,tvae,1.0,2.0,privacy
close_values_probability.score,tvae,0.987,0.9676375404530744,sanity
nearest_syn_neighbor_distance.mean,tvae,0.0192854727511782,0.0186006948605728,sanity
alpha_precision.authenticity_naive,tvae,0.601,0.511326860841424,stats
chi_squared_test.marginal,tvae,0.758232606638833,0.7827502876112765,stats
inv_kl_divergence.marginal,tvae,0.885553713062383,0.9330706248020804,stats
jensenshannon_dist.marginal,tvae,0.0210052976564836,0.0106678504917797,stats
ks_test.marginal,tvae,0.8746666666666665,0.9299840756151436,stats
max_mean_discrepancy.joint,tvae,0.0020000016008049,0.0021574973263229,stats
prdc.coverage,tvae,0.889,0.7928802588996764,stats
prdc.density,tvae,0.9752,0.9987055016181232,stats
prdc.precision,tvae,0.979,0.9751887810140236,stats
prdc.recall,tvae,0.991,0.9471413160733548,stats
wasserstein_dist.joint,tvae,0.5867411339043381,0.4603778844123387,stats
delta-presence.score,rtvae,256.99999743000006,108.99999891000002,privacy
distinct l-diversity.syn,rtvae,1.00000001,1.00000001,privacy
k-anonymization.syn,rtvae,1.00000001,1.00000001,privacy
k-map.score,rtvae,1.0,1.0,privacy
close_values_probability.score,rtvae,0.897,0.9449838187702264,sanity
nearest_syn_neighbor_distance.mean,rtvae,0.0830625247239611,0.0566389012117003,sanity
alpha_precision.authenticity_naive,rtvae,0.625,0.5361380798274002,stats
chi_squared_test.marginal,rtvae,0.6847951175920687,0.837293613707062,stats
inv_kl_divergence.marginal,rtvae,0.8183641382768515,0.8675254477500426,stats
jensenshannon_dist.marginal,rtvae,0.0260573677121211,0.0120029576469936,stats
ks_test.marginal,rtvae,0.8015238095238095,0.9148815944932452,stats
max_mean_discrepancy.joint,rtvae,0.0021405930796175,0.0021632316771296,stats
prdc.coverage,rtvae,0.043,0.0485436893203883,stats
prdc.density,rtvae,0.405,0.968284789644013,stats
prdc.precision,rtvae,1.0,0.9687162891046386,stats
prdc.recall,rtvae,1.0,0.203883495145631,stats
wasserstein_dist.joint,rtvae,0.5710998130255359,0.4695630592494176,stats
delta-presence.score,ddpm,2.555555552716049,1.8235294106920417,privacy
distinct l-diversity.syn,ddpm,16.00000001,13.00000001,privacy
k-anonymization.syn,ddpm,16.00000001,13.00000001,privacy
k-map.score,ddpm,8.0,11.0,privacy
close_values_probability.score,ddpm,0.961,0.9805825242718448,sanity
nearest_syn_neighbor_distance.mean,ddpm,0.052442707635754,0.012338217667496,sanity
alpha_precision.authenticity_naive,ddpm,0.526,0.5393743257820928,stats
chi_squared_test.marginal,ddpm,0.9871099580954296,0.9364822955079588,stats
inv_kl_divergence.marginal,ddpm,0.9753848972662336,0.9617270951536696,stats
jensenshannon_dist.marginal,ddpm,0.0093951683915516,0.0094337300739708,stats
ks_test.marginal,ddpm,0.9394761904761904,0.9434941182513996,stats
