metric,synthesizer,Orig,PrivGen,metric_category
ks_test.marginal,dpgan,0.2500000000000001,0.3827619047619047,stats
ks_test.marginal,pategan,0.7863333333333332,0.9072380952380954,stats
ks_test.marginal,rtvae,0.7719523809523808,0.9002380952380953,stats
ks_test.marginal,tvae,0.872047619047619,0.922047619047619,stats
max_mean_discrepancy.joint,adsgan,0.0020000000461411,0.0019999999070158,stats
max_mean_discrepancy.joint,arf,0.0019999999987145,0.0020000000013653,stats
max_mean_discrepancy.joint,ctgan,0.0020003131116888,0.0020000000040246,stats
max_mean_discrepancy.joint,ddpm,0.0022380441645204,0.0020747590019828,stats
max_mean_discrepancy.joint,decaf,0.0020000509103062,0.0020001506489068,stats
max_mean_discrepancy.joint,dpgan,0.0020022752014221,0.0020000129005073,stats
max_mean_discrepancy.joint,pategan,0.0020094779096442,0.0020001123461073,stats
max_mean_discrepancy.joint,rtvae,0.0022544569606392,0.0020095055177946,stats
max_mean_discrepancy.joint,tvae,0.0019999951381715,0.0020000006832811,stats
prdc.coverage,adsgan,0.875,0.829,stats
prdc.coverage,arf,0.954,0.877,stats
prdc.coverage,ctgan,0.905,0.841,stats
prdc.coverage,ddpm,0.931,0.876,stats
prdc.coverage,decaf,0.043,0.061,stats
prdc.coverage,dpgan,0.174,0.421,stats
prdc.coverage,pategan,0.305,0.794,stats
prdc.coverage,rtvae,0.165,0.059,stats
prdc.coverage,tvae,0.918,0.695,stats
prdc.density,adsgan,1.0018,0.966,stats
prdc.density,arf,0.9828,0.978,stats
prdc.density,ctgan,0.9338,0.9904,stats
prdc.density,ddpm,0.7946,0.9384,stats
prdc.density,decaf,0.8228,0.9248,stats
prdc.density,dpgan,1.0528000000000002,1.0316,stats
prdc.density,pategan,0.4696,0.7120000000000001,stats
prdc.density,rtvae,0.422,1.1984,stats
prdc.density,tvae,1.0282,1.0306,stats
prdc.precision,adsgan,0.978,0.987,stats
prdc.precision,arf,0.989,0.981,stats
prdc.precision,ctgan,0.985,0.974,stats
prdc.precision,ddpm,0.989,0.993,stats
prdc.precision,decaf,0.896,0.99,stats
prdc.precision,dpgan,1.0,0.999,stats
prdc.precision,pategan,1.0,0.933,stats
prdc.precision,rtvae,1.0,0.966,stats
prdc.precision,tvae,0.983,0.985,stats
prdc.recall,adsgan,0.987,0.913,stats
prdc.recall,arf,0.991,0.92,stats
prdc.recall,ctgan,0.966,0.907,stats
prdc.recall,ddpm,0.987,0.915,stats
prdc.recall,decaf,0.014,0.046,stats
prdc.recall,dpgan,0.982,0.86,stats
prdc.recall,pategan,0.964,0.918,stats
prdc.recall,rtvae,1.0,0.233,stats
prdc.recall,tvae,0.98,0.829,stats
wasserstein_dist.joint,adsgan,0.4720075339480858,0.4599326604323701,stats
wasserstein_dist.joint,arf,0.4557762002720931,0.4442450430196701,stats
wasserstein_dist.joint,ctgan,0.4715907280580858,0.4558528714199568,stats
wasserstein_dist.joint,ddpm,0.5528178960568082,0.4869938551656387,stats
wasserstein_dist.joint,decaf,0.5544779173113856,0.511868868677125,stats
wasserstein_dist.joint,dpgan,3.8787148601439623,3.422488199526363,stats
wasserstein_dist.joint,pategan,0.7799717650438416,0.6146209804775804,stats
wasserstein_dist.joint,rtvae,0.6079686548937882,0.4708315115278878,stats
wasserstein_dist.joint,tvae,0.5490700324654887,0.464952842224736,stats
