frac,eps,mp,k,noise,sil,kept,overall_loss,worst_excess,cap_ok,score
0.5,3.1438640609035016,3,10,0.384,-0.11026265448171503,546,0.45399999999999996,0.16600000000000004,False,0.28400000000000003
0.5,3.1438640609035016,5,5,0.457,-0.06552603585904705,487,0.513,0.16699999999999993,False,0.357
0.6,3.7726368730842017,3,4,0.152,0.1127627811215643,761,0.239,0.09099999999999997,True,0.04613633538167865
0.6,3.7726368730842017,5,2,0.183,0.1386956702752113,735,0.265,0.10166666666666668,False,0.07148825936715746
0.7,4.401409685264902,3,3,0.044,0.15656640400866542,859,0.14100000000000001,0.029000000000000026,True,0.047232281375514745
0.7,4.401409685264902,5,2,0.052,0.19649805975629484,852,0.14800000000000002,0.03200000000000003,True,0.03856809313169785
0.7,4.401409685264902,8,2,0.07,0.19111906793847877,835,0.16500000000000004,0.03833333333333333,True,0.024266427961845635
0.7,4.401409685264902,10,2,0.085,0.17670312789074927,822,0.17800000000000005,0.03533333333333333,True,0.01234945308163876
0.8,5.030182497445603,3,2,0.01,0.2329980631776774,889,0.11099999999999999,0.005666666666666709,True,0.06903017431400904
0.8,5.030182497445603,5,2,0.01,0.2329980631776774,889,0.11099999999999999,0.005666666666666709,True,0.06903017431400904
0.8,5.030182497445603,8,2,0.011,0.23335209882297675,888,0.11199999999999999,0.004666666666666708,True,0.06823166320475509
0.8,5.030182497445603,10,2,0.014,0.23214038621670613,887,0.11299999999999999,0.003666666666666707,True,0.06603592678536327
0.8,5.030182497445603,15,2,0.015,0.22992748200521132,886,0.11399999999999999,0.002666666666666706,True,0.06545616402955705
0.8,5.030182497445603,20,2,0.026,0.21828726047534086,876,0.124,0.0017142857142856682,True,0.05784674272482478
